date,nav,cash,positions_value,bench_nav
2026-07-27,1000000.0,1000000.0,0.0,1025118.86
2026-07-28,998406.53,201672.29,796734.24,981453.02
2026-07-29,1001224.87,201672.29,799552.58,984724.56
2026-07-30,984874.68,201672.29,783202.39,949941.31
2026-07-31,998931.95,201672.29,797259.66,975689.42
2026-08-03,993797.51,201672.29,792125.22,962112.89
2026-08-04,1004513.27,608275.19,396238.08,994415.22
2026-08-05,1037596.69,608275.19,429321.5,1030553.3
2026-08-06,1050539.04,608275.19,442263.85,1038989.83
2026-08-07,1073874.03,608275.19,465598.84,1066103.63
