date,ticker,side,shares,price,value,cost
2026-07-28,000651,buy,400.0,40.8,16320.0,32.64
2026-07-28,001339,buy,200.0,71.29,14258.0,28.52
2026-07-28,002050,buy,500.0,35.58,17790.0,35.58
2026-07-28,002126,buy,500.0,38.95,19475.0,38.95
2026-07-28,002230,buy,500.0,39.81,19905.0,39.81
2026-07-28,002429,buy,2600.0,7.48,19448.0,38.9
2026-07-28,002602,buy,1500.0,12.52,18780.0,37.56
2026-07-28,002850,buy,100.0,172.0,17200.0,34.4
2026-07-28,300433,buy,500.0,33.86,16930.0,33.86
2026-07-28,300489,buy,100.0,147.48,14748.0,29.5
2026-07-28,300661,buy,200.0,94.99,18998.0,38.0
2026-07-28,300748,buy,800.0,24.2,19360.0,38.72
2026-07-28,300759,buy,500.0,37.72,18860.0,37.72
2026-07-28,300806,buy,400.0,41.25,16500.0,33.0
2026-07-28,301297,buy,600.0,30.81,18486.0,36.97
2026-07-28,600028,buy,3800.0,5.18,19684.0,39.37
2026-07-28,600031,buy,1000.0,19.7,19700.0,39.4
2026-07-28,600276,buy,300.0,53.29,15987.0,31.97
2026-07-28,600641,buy,600.0,28.73,17238.0,34.48
2026-07-28,600887,buy,700.0,26.58,18606.0,37.21
2026-07-28,600900,buy,600.0,29.07,17442.0,34.88
2026-07-28,600909,buy,2600.0,7.42,19292.0,38.58
2026-07-28,600919,buy,1700.0,11.57,19669.0,39.34
2026-07-28,600989,buy,800.0,22.94,18352.0,36.7
2026-07-28,600999,buy,1100.0,17.41,19151.0,38.3
2026-07-28,601088,buy,400.0,45.44,18176.0,36.35
2026-07-28,601127,buy,300.0,55.93,16779.0,33.56
2026-07-28,601225,buy,800.0,24.4,19520.0,39.04
2026-07-28,601318,buy,300.0,54.2,16260.0,32.52
2026-07-28,601328,buy,2800.0,7.11,19908.0,39.82
2026-07-28,601398,buy,2500.0,7.97,19925.0,39.85
2026-07-28,601601,buy,600.0,31.7,19020.0,38.04
2026-07-28,601628,buy,400.0,40.2,16080.0,32.16
2026-07-28,601668,buy,4300.0,4.64,19952.0,39.9
2026-07-28,601688,buy,900.0,20.09,18081.0,36.16
2026-07-28,601689,buy,400.0,45.6,18240.0,36.48
2026-07-28,601766,buy,3300.0,6.0,19800.0,39.6
2026-07-28,603179,buy,500.0,38.0,19000.0,38.0
2026-07-28,603259,buy,100.0,123.02,12302.0,24.6
2026-07-28,603268,buy,100.0,147.45,14745.0,29.49
2026-07-28,603501,buy,200.0,91.8,18360.0,36.72
2026-07-28,603823,buy,300.0,61.49,18447.0,36.89
2026-07-28,688249,buy,487.0,40.99,19962.13,39.92
2026-07-28,688343,buy,319.0,62.69,19998.11,40.0
2026-08-04,000651,sell,-400.0,40.52,-16208.0,32.42
2026-08-04,001339,sell,-200.0,71.97,-14394.0,28.79
2026-08-04,002008,buy,200.0,88.25,17650.0,35.3
2026-08-04,002050,sell,-500.0,38.74,-19370.0,38.74
2026-08-04,002080,buy,400.0,44.37,17748.0,35.5
2026-08-04,002126,sell,-500.0,39.6,-19800.0,39.6
2026-08-04,002230,sell,-500.0,43.49,-21745.0,43.49
2026-08-04,002384,buy,100.0,179.09,17909.0,35.82
2026-08-04,002429,sell,-2600.0,7.78,-20228.0,40.46
2026-08-04,002475,buy,300.0,55.48,16644.0,33.29
2026-08-04,002484,buy,300.0,59.31,17793.0,35.59
2026-08-04,002602,sell,-1500.0,14.12,-21180.0,42.36
2026-08-04,002636,buy,300.0,51.07,15321.0,30.64
2026-08-04,002850,sell,-100.0,181.33,-18133.0,36.27
2026-08-04,002851,buy,100.0,106.8,10680.0,21.36
2026-08-04,300136,buy,300.0,59.55,17865.0,35.73
2026-08-04,300373,buy,200.0,86.8,17360.0,34.72
2026-08-04,300433,sell,-500.0,32.95,-16475.0,32.95
2026-08-04,300475,buy,100.0,142.2,14220.0,28.44
2026-08-04,300489,sell,-100.0,169.2,-16920.0,33.84
2026-08-04,300661,sell,-200.0,101.56,-20312.0,40.62
2026-08-04,300672,buy,100.0,133.8,13380.0,26.76
2026-08-04,300748,sell,-800.0,26.44,-21152.0,42.3
2026-08-04,300751,buy,100.0,155.87,15587.0,31.17
2026-08-04,300759,sell,-500.0,39.92,-19960.0,39.92
2026-08-04,300776,buy,100.0,104.75,10475.0,20.95
2026-08-04,300806,sell,-400.0,41.88,-16752.0,33.5
2026-08-04,300870,buy,100.0,184.68,18468.0,36.94
2026-08-04,301297,sell,-600.0,32.91,-19746.0,39.49
2026-08-04,301396,buy,100.0,176.65,17665.0,35.33
2026-08-04,600028,sell,-3800.0,5.1,-19380.0,38.76
2026-08-04,600031,sell,-1000.0,19.53,-19530.0,39.06
2026-08-04,600183,buy,100.0,112.23,11223.0,22.45
2026-08-04,600276,sell,-300.0,53.42,-16026.0,32.05
2026-08-04,600641,buy,200.0,24.41,4882.0,9.76
2026-08-04,600887,sell,-700.0,26.37,-18459.0,36.92
2026-08-04,600900,sell,-600.0,28.3,-16980.0,33.96
2026-08-04,600909,sell,-2600.0,7.75,-20150.0,40.3
2026-08-04,600919,sell,-1700.0,11.46,-19482.0,38.96
2026-08-04,600989,sell,-800.0,23.09,-18472.0,36.94
2026-08-04,600999,sell,-1100.0,17.75,-19525.0,39.05
2026-08-04,601088,sell,-400.0,43.15,-17260.0,34.52
2026-08-04,601127,sell,-300.0,58.62,-17586.0,35.17
2026-08-04,601225,sell,-800.0,23.92,-19136.0,38.27
2026-08-04,601318,sell,-300.0,53.93,-16179.0,32.36
2026-08-04,601328,sell,-2800.0,7.04,-19712.0,39.42
2026-08-04,601398,sell,-2500.0,7.66,-19150.0,38.3
2026-08-04,601601,sell,-600.0,31.78,-19068.0,38.14
2026-08-04,601628,sell,-400.0,37.66,-15064.0,30.13
2026-08-04,601668,sell,-4300.0,4.64,-19952.0,39.9
2026-08-04,601688,sell,-900.0,19.6,-17640.0,35.28
2026-08-04,601689,sell,-400.0,49.75,-19900.0,39.8
2026-08-04,601766,sell,-3300.0,6.03,-19899.0,39.8
2026-08-04,603179,sell,-500.0,39.38,-19690.0,39.38
2026-08-04,603256,buy,100.0,125.55,12555.0,25.11
2026-08-04,603259,sell,-100.0,141.35,-14135.0,28.27
2026-08-04,603268,sell,-100.0,157.15,-15715.0,31.43
2026-08-04,603501,sell,-200.0,87.95,-17590.0,35.18
2026-08-04,603823,sell,-300.0,55.21,-16563.0,33.13
2026-08-04,603929,buy,100.0,146.64,14664.0,29.33
2026-08-04,605358,buy,500.0,38.3,19150.0,38.3
2026-08-04,688147,buy,229.0,87.7,20083.3,40.17
2026-08-04,688172,buy,405.0,49.72,20136.6,40.27
2026-08-04,688234,buy,232.0,86.45,20056.4,40.11
2026-08-04,688249,sell,-487.0,36.62,-17833.94,35.67
2026-08-04,688343,sell,-319.0,56.7,-18087.3,36.17
2026-08-04,688545,buy,303.0,66.26,20076.78,40.15
