date,nav,cash,positions_value,bench_nav
2026-07-27,5000000.0,5000000.0,0.0,5125594.3
2026-07-28,4993907.19,1947500.47,3046406.72,4907265.09
2026-07-29,5015744.17,1947500.47,3068243.7,4923622.8
2026-07-30,4943888.15,1947500.47,2996387.68,4749706.56
2026-07-31,5003058.69,1947500.47,3055558.22,4878447.1
2026-08-03,4988820.74,1947500.47,3041320.27,4810564.45
2026-08-04,5059222.17,1818890.36,3240331.81,4972076.09
2026-08-05,5162454.52,1818890.36,3343564.16,5152766.49
2026-08-06,5182650.76,1818890.36,3363760.4,5194949.15
2026-08-07,5252530.21,1818890.36,3433639.85,5330518.17
