date,ticker,side,shares,price,value,cost
2026-07-28,000001,buy,800.0,11.2,8960.0,17.92
2026-07-28,000021,buy,200.0,39.56,7912.0,15.82
2026-07-28,000034,buy,300.0,25.83,7749.0,15.5
2026-07-28,000060,buy,1600.0,6.17,9872.0,19.74
2026-07-28,000063,buy,200.0,34.03,6806.0,13.61
2026-07-28,000066,buy,600.0,14.37,8622.0,17.24
2026-07-28,000100,buy,2000.0,4.91,9820.0,19.64
2026-07-28,000333,buy,100.0,85.37,8537.0,17.07
2026-07-28,000338,buy,300.0,26.19,7857.0,15.71
2026-07-28,000408,buy,100.0,79.41,7941.0,15.88
2026-07-28,000425,buy,1100.0,8.76,9636.0,19.27
2026-07-28,000426,buy,300.0,31.25,9375.0,18.75
2026-07-28,000539,buy,1800.0,5.53,9954.0,19.91
2026-07-28,000559,buy,900.0,10.49,9441.0,18.88
2026-07-28,000568,buy,100.0,87.0,8700.0,17.4
2026-07-28,000630,buy,1600.0,6.08,9728.0,19.46
2026-07-28,000636,buy,200.0,43.19,8638.0,17.28
2026-07-28,000651,buy,200.0,40.8,8160.0,16.32
2026-07-28,000657,buy,100.0,53.98,5398.0,10.8
2026-07-28,000688,buy,300.0,27.73,8319.0,16.64
2026-07-28,000703,buy,600.0,15.3,9180.0,18.36
2026-07-28,000725,buy,1700.0,5.58,9486.0,18.97
2026-07-28,000737,buy,700.0,13.12,9184.0,18.37
2026-07-28,000776,buy,400.0,21.29,8516.0,17.03
2026-07-28,000783,buy,1100.0,8.36,9196.0,18.39
2026-07-28,000792,buy,300.0,26.99,8097.0,16.19
2026-07-28,000807,buy,300.0,25.6,7680.0,15.36
2026-07-28,000811,buy,200.0,39.09,7818.0,15.64
2026-07-28,000831,buy,200.0,46.78,9356.0,18.71
2026-07-28,000858,buy,100.0,74.8,7480.0,14.96
2026-07-28,000878,buy,600.0,15.22,9132.0,18.26
2026-07-28,000933,buy,300.0,25.1,7530.0,15.06
2026-07-28,000938,buy,200.0,41.48,8296.0,16.59
2026-07-28,000960,buy,300.0,30.92,9276.0,18.55
2026-07-28,000962,buy,200.0,46.02,9204.0,18.41
2026-07-28,000973,buy,800.0,12.11,9688.0,19.38
2026-07-28,000975,buy,400.0,21.94,8776.0,17.55
2026-07-28,000977,buy,100.0,79.85,7985.0,15.97
2026-07-28,000981,buy,3900.0,2.51,9789.0,19.58
2026-07-28,001203,buy,300.0,26.43,7929.0,15.86
2026-07-28,001248,buy,700.0,14.27,9989.0,19.98
2026-07-28,001257,buy,400.0,23.71,9484.0,18.97
2026-07-28,001267,buy,300.0,31.09,9327.0,18.65
2026-07-28,001339,buy,100.0,71.29,7129.0,14.26
2026-07-28,001399,buy,400.0,24.74,9896.0,19.79
2026-07-28,002001,buy,300.0,29.19,8757.0,17.51
2026-07-28,002008,buy,100.0,94.17,9417.0,18.83
2026-07-28,002015,buy,700.0,14.08,9856.0,19.71
2026-07-28,002025,buy,100.0,61.62,6162.0,12.32
2026-07-28,002027,buy,1800.0,5.35,9630.0,19.26
2026-07-28,002046,buy,200.0,47.11,9422.0,18.84
2026-07-28,002049,buy,100.0,63.82,6382.0,12.76
2026-07-28,002050,buy,200.0,35.58,7116.0,14.23
2026-07-28,002056,buy,400.0,20.93,8372.0,16.74
2026-07-28,002074,buy,300.0,27.04,8112.0,16.22
2026-07-28,002080,buy,200.0,46.75,9350.0,18.7
2026-07-28,002126,buy,200.0,38.95,7790.0,15.58
2026-07-28,002129,buy,1100.0,8.55,9405.0,18.81
2026-07-28,002131,buy,2400.0,4.04,9696.0,19.39
2026-07-28,002138,buy,200.0,41.68,8336.0,16.67
2026-07-28,002142,buy,300.0,31.82,9546.0,19.09
2026-07-28,002155,buy,400.0,22.31,8924.0,17.85
2026-07-28,002156,buy,100.0,69.0,6900.0,13.8
2026-07-28,002179,buy,300.0,32.91,9873.0,19.75
2026-07-28,002185,buy,500.0,17.47,8735.0,17.47
