date,nav,cash,positions_value,bench_nav
2026-01-26,100000.0,100000.0,0.0,100000.0
2026-01-27,99800.4,0.0,99800.4,99800.4
2026-01-28,101378.75,0.0,101378.75,101473.72
2026-01-29,100539.75,0.0,100539.75,100986.83
2026-01-30,99612.01,0.0,99612.01,99210.48
2026-02-02,99819.25,0.0,99819.25,98079.78
2026-02-03,98875.42,0.0,98875.42,97561.91
2026-02-04,100858.2,0.0,100858.2,99494.22
2026-02-05,98231.8,0.0,98231.8,97732.49
2026-02-06,95956.38,0.0,95956.38,95892.43
2026-02-09,98879.47,0.0,98879.47,99058.47
2026-02-10,100279.62,0.0,100279.62,99874.0
2026-02-11,98970.42,0.0,98970.42,99403.14
2026-02-12,98916.88,0.0,98916.88,99434.62
2026-02-13,98831.0,0.0,98831.0,99665.65
2026-02-24,100104.57,0.0,100104.57,100664.76
2026-02-25,100169.45,1812.99,98356.47,100441.04
2026-02-26,101017.73,1812.99,99204.74,101697.19
2026-02-27,100995.67,1812.99,99182.69,101251.15
2026-03-02,101453.72,1812.99,99640.73,102130.65
2026-03-03,102834.62,1812.99,101021.63,103351.1
2026-03-04,95733.8,0.0,95733.8,96565.76
2026-03-05,99271.47,0.0,99271.47,100301.28
2026-03-06,98601.92,0.0,98601.92,98792.82
2026-03-09,97503.1,0.0,97503.1,97703.08
2026-03-10,100187.19,0.0,100187.19,100330.28
2026-03-11,101702.87,0.0,101702.87,101357.99
2026-03-12,101828.07,0.0,101828.07,101066.01
2026-03-13,100535.41,0.0,100535.41,99715.09
2026-03-16,99448.74,0.0,99448.74,98189.25
2026-03-17,99711.29,0.0,99711.29,98213.49
2026-03-18,96904.27,0.0,96904.27,95894.97
2026-03-19,96828.87,0.0,96828.87,95329.93
2026-03-20,97697.32,0.0,97697.32,95099.79
2026-03-23,93792.95,0.0,93792.95,90928.71
2026-03-24,93375.61,0.0,93375.61,90881.33
2026-03-25,94845.3,0.0,94845.3,92264.02
2026-03-26,95659.77,0.0,95659.77,93196.41
2026-03-27,92001.04,0.0,92001.04,89920.36
2026-03-30,93649.32,0.0,93649.32,91506.12
2026-03-31,94448.07,0.0,94448.07,92452.52
2026-04-01,94029.24,0.0,94029.24,92685.22
2026-04-02,93617.07,0.0,93617.07,92097.57
2026-04-03,92562.7,0.0,92562.7,91208.61
2026-04-07,91352.16,0.0,91352.16,89970.0
