date,nav,cash,positions_value,bench_nav
2026-07-27,1000000.0,1000000.0,0.0,1025118.86
2026-07-28,998172.27,84309.27,913863.0,981453.02
2026-07-29,1004749.27,84309.27,920440.0,984724.56
2026-07-30,999457.45,171964.33,827493.12,949941.31
2026-07-31,1013930.93,171964.33,841966.6,975689.42
2026-08-03,1006243.21,32664.21,973579.0,962112.89
2026-08-04,1012563.21,32664.21,979899.0,994415.22
2026-08-05,1015672.24,120259.9,895412.34,1030553.3
2026-08-06,1002724.22,120259.9,882464.32,1038989.83
2026-08-07,1015441.07,213938.35,801502.72,1066103.63
