date,ticker,side,shares,price,value,cost
2026-07-28,000333,buy,500.0,85.37,42685.0,85.37
2026-07-28,002749,buy,5600.0,8.87,49672.0,99.34
2026-07-28,002762,buy,6200.0,7.94,49228.0,98.46
2026-07-28,002936,buy,27900.0,1.79,49941.0,99.88
2026-07-28,003013,buy,2900.0,16.93,49097.0,98.19
2026-07-28,300414,buy,4400.0,11.28,49632.0,99.26
2026-07-28,300480,buy,1600.0,29.47,47152.0,94.3
2026-07-28,300733,buy,4100.0,12.06,49446.0,98.89
2026-07-28,300750,buy,100.0,390.86,39086.0,78.17
2026-07-28,300804,buy,1300.0,37.01,48113.0,96.23
2026-07-28,300951,buy,900.0,54.66,49194.0,98.39
2026-07-28,300996,buy,3800.0,12.93,49134.0,98.27
2026-07-28,301122,buy,1500.0,32.79,49185.0,98.37
2026-07-28,301535,buy,2900.0,16.7,48430.0,96.86
2026-07-28,600036,buy,1200.0,39.59,47508.0,95.02
2026-07-28,600377,buy,4000.0,12.29,49160.0,98.32
2026-07-28,600941,buy,500.0,96.35,48175.0,96.35
2026-07-28,601088,buy,1100.0,45.44,49984.0,99.97
2026-07-28,605198,buy,900.0,54.49,49041.0,98.08
2026-07-30,000333,sell,-500.0,88.95,-44475.0,88.95
2026-07-30,002749,sell,-5600.0,9.37,-52472.0,104.94
2026-07-30,002762,sell,-6200.0,8.12,-50344.0,100.69
2026-07-30,002879,buy,3100.0,16.14,50034.0,100.07
2026-07-30,002936,sell,-27900.0,1.85,-51615.0,103.23
2026-07-30,003013,sell,-2900.0,16.0,-46400.0,92.8
2026-07-30,300067,buy,9300.0,5.38,50034.0,100.07
2026-07-30,300250,buy,3300.0,14.92,49236.0,98.47
2026-07-30,300261,buy,9600.0,5.2,49920.0,99.84
2026-07-30,300346,buy,1000.0,47.61,47610.0,95.22
2026-07-30,300414,sell,-4400.0,10.73,-47212.0,94.42
2026-07-30,300480,sell,-1600.0,25.25,-40400.0,80.8
2026-07-30,300546,buy,3200.0,15.58,49856.0,99.71
2026-07-30,300733,sell,-4100.0,12.41,-50881.0,101.76
2026-07-30,300753,buy,2200.0,22.3,49060.0,98.12
2026-07-30,300804,sell,-1300.0,39.97,-51961.0,103.92
2026-07-30,300809,buy,2200.0,21.8,47960.0,95.92
2026-07-30,300897,buy,3400.0,14.65,49810.0,99.62
2026-07-30,300951,sell,-900.0,49.95,-44955.0,89.91
2026-07-30,300996,sell,-3800.0,15.52,-58976.0,117.95
2026-07-30,301121,buy,1700.0,29.3,49810.0,99.62
2026-07-30,301122,buy,200.0,29.17,5834.0,11.67
2026-07-30,301234,buy,700.0,69.2,48440.0,96.88
2026-07-30,301421,buy,700.0,66.68,46676.0,93.35
2026-07-30,301535,sell,-2900.0,17.32,-50228.0,100.46
2026-07-30,600036,sell,-1200.0,40.55,-48660.0,97.32
2026-07-30,600377,sell,-4000.0,12.39,-49560.0,99.12
2026-07-30,600941,sell,-500.0,98.7,-49350.0,98.7
