date,nav,cash,positions_value,bench_nav
2026-07-27,1000000.0,1000000.0,0.0,1025118.86
2026-07-28,998350.76,173730.33,824620.43,981453.02
2026-07-29,999898.33,173730.33,826168.0,984724.56
2026-07-30,975906.21,169823.21,806083.0,949941.31
2026-07-31,986533.21,169823.21,816710.0,975689.42
2026-08-03,975636.15,35378.15,940258.0,962112.89
2026-08-04,982072.15,35378.15,946694.0,994415.22
2026-08-05,981285.37,135893.17,845392.2,1030553.3
2026-08-06,964281.87,135893.17,828388.7,1038989.83
2026-08-07,981693.43,193010.43,788683.0,1066103.63
