date,ticker,side,shares,price,value,cost
2026-07-28,002036,buy,6900.0,7.23,49887.0,99.77
2026-07-28,002374,buy,16300.0,3.05,49715.0,99.43
2026-07-28,300414,buy,4400.0,11.28,49632.0,99.26
2026-07-28,300480,buy,1600.0,29.47,47152.0,94.3
2026-07-28,300750,buy,100.0,390.86,39086.0,78.17
2026-07-28,300804,buy,1300.0,37.01,48113.0,96.23
2026-07-28,300951,buy,900.0,54.66,49194.0,98.39
2026-07-28,300996,buy,3800.0,12.93,49134.0,98.27
2026-07-28,301122,buy,1500.0,32.79,49185.0,98.37
2026-07-28,301535,buy,2900.0,16.7,48430.0,96.86
2026-07-28,600036,buy,1200.0,39.59,47508.0,95.02
2026-07-28,600377,buy,4000.0,12.29,49160.0,98.32
2026-07-28,600984,buy,12500.0,3.97,49625.0,99.25
2026-07-28,603956,buy,7900.0,6.3,49770.0,99.54
2026-07-28,605198,buy,900.0,54.49,49041.0,98.08
2026-07-28,688151,buy,3105.0,16.1,49990.5,99.98
2026-07-28,688237,buy,733.0,68.21,49997.93,100.0
2026-07-30,001258,buy,3900.0,12.35,48165.0,96.33
2026-07-30,002036,sell,-6900.0,6.88,-47472.0,94.94
2026-07-30,002374,sell,-16300.0,3.0,-48900.0,97.8
2026-07-30,002879,buy,3000.0,16.14,48420.0,96.84
2026-07-30,300067,buy,9000.0,5.38,48420.0,96.84
2026-07-30,300250,buy,3200.0,14.92,47744.0,95.49
2026-07-30,300293,buy,3100.0,15.46,47926.0,95.85
2026-07-30,300414,sell,-4400.0,10.73,-47212.0,94.42
2026-07-30,300480,sell,-1600.0,25.25,-40400.0,80.8
2026-07-30,300534,buy,3600.0,13.37,48132.0,96.26
2026-07-30,300546,buy,3100.0,15.58,48298.0,96.6
2026-07-30,300637,buy,6200.0,7.83,48546.0,97.09
2026-07-30,300753,buy,2100.0,22.3,46830.0,93.66
2026-07-30,300804,sell,-1300.0,39.97,-51961.0,103.92
2026-07-30,300897,buy,3300.0,14.65,48345.0,96.69
2026-07-30,300901,buy,3200.0,14.91,47712.0,95.42
2026-07-30,300951,sell,-900.0,49.95,-44955.0,89.91
2026-07-30,300996,sell,-3800.0,15.52,-58976.0,117.95
2026-07-30,301122,buy,100.0,29.17,2917.0,5.83
2026-07-30,301234,buy,700.0,69.2,48440.0,96.88
2026-07-30,301421,buy,700.0,66.68,46676.0,93.35
2026-07-30,301535,sell,-2900.0,17.32,-50228.0,100.46
2026-07-30,600036,sell,-1200.0,40.55,-48660.0,97.32
2026-07-30,600377,sell,-4000.0,12.39,-49560.0,99.12
2026-07-30,600958,buy,5300.0,9.2,48760.0,97.52
2026-07-30,600984,sell,-12500.0,4.01,-50125.0,100.25
2026-07-30,603690,buy,2100.0,22.29,46809.0,93.62
2026-07-30,603956,sell,-7900.0,5.99,-47321.0,94.64
2026-07-30,605198,sell,-900.0,51.78,-46602.0,93.2
2026-07-30,688151,sell,-3105.0,15.61,-48469.05,96.94
2026-07-30,688237,sell,-733.0,54.95,-40278.35,80.56
2026-08-03,000799,buy,1100.0,40.88,44968.0,89.94
2026-08-03,000858,buy,600.0,78.06,46836.0,93.67
2026-08-03,001258,sell,-3900.0,12.73,-49647.0,99.29
2026-08-03,002879,sell,-3000.0,17.88,-53640.0,107.28
2026-08-03,002882,buy,2000.0,23.98,47960.0,95.92
2026-08-03,002945,buy,3200.0,14.9,47680.0,95.36
2026-08-03,300067,sell,-9000.0,5.54,-49860.0,99.72
2026-08-03,300169,buy,9000.0,5.43,48870.0,97.74
2026-08-03,300250,sell,-3200.0,15.15,-48480.0,96.96
2026-08-03,300293,sell,-3100.0,15.3,-47430.0,94.86
2026-08-03,300333,buy,5500.0,8.87,48785.0,97.57
2026-08-03,300505,buy,2600.0,18.79,48854.0,97.71
2026-08-03,300534,sell,-3600.0,12.67,-45612.0,91.22
2026-08-03,300546,sell,-3100.0,15.7,-48670.0,97.34
2026-08-03,300605,buy,4500.0,10.72,48240.0,96.48
2026-08-03,300637,sell,-6200.0,8.26,-51212.0,102.42
2026-08-03,300688,buy,1500.0,31.42,47130.0,94.26
2026-08-03,300753,sell,-2100.0,22.6,-47460.0,94.92
2026-08-03,300804,buy,1200.0,38.0,45600.0,91.2
2026-08-03,300894,buy,4300.0,11.25,48375.0,96.75
2026-08-03,300897,sell,-3300.0,15.41,-50853.0,101.71
2026-08-03,300901,sell,-3200.0,14.2,-45440.0,90.88
2026-08-03,300981,buy,3300.0,14.69,48477.0,96.95
2026-08-03,300997,buy,2700.0,17.63,47601.0,95.2
2026-08-03,301122,sell,-1600.0,29.77,-47632.0,95.26
2026-08-03,301234,sell,-700.0,66.1,-46270.0,92.54
2026-08-03,301421,sell,-700.0,62.88,-44016.0,88.03
2026-08-03,301449,buy,1200.0,39.2,47040.0,94.08
2026-08-03,301667,buy,600.0,70.4,42240.0,84.48
2026-08-03,301668,buy,1200.0,39.13,46956.0,93.91
2026-08-03,600702,buy,1300.0,37.58,48854.0,97.71
2026-08-03,600733,buy,8100.0,5.97,48357.0,96.71
2026-08-03,600958,sell,-5300.0,9.24,-48972.0,97.94
2026-08-03,603690,sell,-2100.0,21.2,-44520.0,89.04
2026-08-03,603919,buy,2900.0,16.55,47995.0,95.99
2026-08-05,000799,sell,-1100.0,41.09,-45199.0,90.4
2026-08-05,000858,sell,-600.0,75.5,-45300.0,90.6
2026-08-05,001309,buy,100.0,386.24,38624.0,77.25
2026-08-05,002415,buy,1200.0,38.44,46128.0,92.26
2026-08-05,002670,buy,4200.0,11.46,48132.0,96.26
2026-08-05,002882,sell,-2000.0,22.94,-45880.0,91.76
2026-08-05,002945,sell,-3200.0,15.03,-48096.0,96.19
2026-08-05,300058,buy,3100.0,15.73,48763.0,97.53
2026-08-05,300159,buy,15600.0,3.15,49140.0,98.28
2026-08-05,300169,sell,-9000.0,5.54,-49860.0,99.72
2026-08-05,300305,buy,7800.0,6.25,48750.0,97.5
2026-08-05,300333,sell,-5500.0,8.87,-48785.0,97.57
2026-08-05,300364,buy,1800.0,26.46,47628.0,95.26
2026-08-05,300418,buy,1100.0,44.41,48851.0,97.7
2026-08-05,300505,sell,-2600.0,19.69,-51194.0,102.39
2026-08-05,300605,sell,-4500.0,11.09,-49905.0,99.81
2026-08-05,300613,buy,600.0,70.86,42516.0,85.03
2026-08-05,300688,sell,-1500.0,31.3,-46950.0,93.9
2026-08-05,300750,sell,-100.0,405.2,-40520.0,81.04
2026-08-05,300804,sell,-1200.0,38.62,-46344.0,92.69
2026-08-05,300894,sell,-4300.0,12.05,-51815.0,103.63
