date,nav,cash,positions_value,bench_nav
2026-07-27,1000000.0,1000000.0,0.0,1025118.86
2026-07-28,998129.96,63108.96,935021.0,981453.02
2026-07-29,978917.81,63108.96,915808.85,984724.56
2026-07-30,936426.23,82459.42,853966.81,949941.31
2026-07-31,950228.53,82459.42,867769.11,975689.42
2026-08-03,933668.34,108210.84,825457.5,962112.89
2026-08-04,982394.84,108210.84,874184.0,994415.22
2026-08-05,1025959.61,110093.61,915866.0,1030553.3
2026-08-06,1015516.61,110093.61,905423.0,1038989.83
2026-08-07,1039387.96,106335.96,933052.0,1066103.63
