date,ticker,side,shares,price,value,cost
2026-07-28,000021,buy,1200.0,39.56,47472.0,94.94
2026-07-28,000533,buy,4300.0,11.56,49708.0,99.42
2026-07-28,000725,buy,8900.0,5.58,49662.0,99.32
2026-07-28,000938,buy,1200.0,41.48,49776.0,99.55
2026-07-28,001258,buy,3800.0,12.9,49020.0,98.04
2026-07-28,001309,buy,100.0,361.44,36144.0,72.29
2026-07-28,002083,buy,4600.0,10.8,49680.0,99.36
2026-07-28,002156,buy,700.0,69.0,48300.0,96.6
2026-07-28,002185,buy,2800.0,17.47,48916.0,97.83
2026-07-28,002384,buy,200.0,190.71,38142.0,76.28
2026-07-28,300750,buy,100.0,390.86,39086.0,78.17
2026-07-28,600206,buy,1100.0,43.5,47850.0,95.7
2026-07-28,600396,buy,3000.0,16.58,49740.0,99.48
2026-07-28,600584,buy,600.0,76.83,46098.0,92.2
2026-07-28,600664,buy,8700.0,5.74,49938.0,99.88
2026-07-28,600667,buy,2700.0,18.37,49599.0,99.2
2026-07-28,601606,buy,1400.0,33.55,46970.0,93.94
2026-07-28,601991,buy,8400.0,5.94,49896.0,99.79
2026-07-28,603986,buy,100.0,390.63,39063.0,78.13
2026-07-28,688825,buy,1063.0,47.0,49961.0,99.92
2026-07-30,000021,sell,-1200.0,36.42,-43704.0,87.41
2026-07-30,000636,buy,900.0,50.5,45450.0,90.9
2026-07-30,000725,sell,-100.0,5.36,-536.0,1.07
2026-07-30,000938,buy,100.0,33.6,3360.0,6.72
2026-07-30,002083,sell,-4600.0,11.26,-51796.0,103.59
2026-07-30,002156,buy,100.0,55.89,5589.0,11.18
2026-07-30,002173,buy,2400.0,19.05,45720.0,91.44
2026-07-30,002185,buy,300.0,14.91,4473.0,8.95
2026-07-30,002407,buy,1500.0,30.56,45840.0,91.68
2026-07-30,300750,sell,-100.0,401.88,-40188.0,80.38
2026-07-30,600206,sell,-1100.0,35.87,-39457.0,78.91
2026-07-30,600396,buy,200.0,14.54,2908.0,5.82
2026-07-30,600584,buy,100.0,64.51,6451.0,12.9
2026-07-30,600664,sell,-200.0,5.56,-1112.0,2.22
2026-07-30,600667,buy,200.0,15.66,3132.0,6.26
2026-07-30,600722,buy,4300.0,10.88,46784.0,93.57
2026-07-30,600895,buy,1400.0,32.48,45472.0,90.94
2026-07-30,601606,sell,-1400.0,35.65,-49910.0,99.82
2026-07-30,601991,sell,-8400.0,5.82,-48888.0,97.78
2026-08-03,000021,buy,1300.0,34.51,44863.0,89.73
2026-08-03,000533,sell,-4300.0,11.45,-49235.0,98.47
2026-08-03,000725,sell,-100.0,5.42,-542.0,1.08
2026-08-03,000938,buy,100.0,33.1,3310.0,6.62
2026-08-03,001258,sell,-100.0,12.73,-1273.0,2.55
2026-08-03,002156,buy,100.0,51.34,5134.0,10.27
2026-08-03,002173,sell,-2400.0,19.02,-45648.0,91.3
2026-08-03,300502,buy,100.0,394.08,39408.0,78.82
2026-08-03,600105,buy,1400.0,31.17,43638.0,87.28
2026-08-03,600176,buy,1300.0,34.06,44278.0,88.56
2026-08-03,600396,sell,-100.0,15.51,-1551.0,3.1
2026-08-03,600487,buy,900.0,47.37,42633.0,85.27
2026-08-03,600664,sell,-8500.0,5.99,-50915.0,101.83
2026-08-03,600722,sell,-4300.0,10.81,-46483.0,92.97
2026-08-03,600895,sell,-1400.0,30.43,-42602.0,85.2
2026-08-03,688825,sell,-213.0,54.99,-11712.87,23.43
2026-08-05,000021,sell,-1300.0,38.7,-50310.0,100.62
2026-08-05,000533,buy,4000.0,12.7,50800.0,101.6
2026-08-05,000725,sell,-8700.0,5.97,-51939.0,103.88
2026-08-05,000815,buy,2700.0,18.85,50895.0,101.79
2026-08-05,001258,sell,-3700.0,13.53,-50061.0,100.12
2026-08-05,002131,buy,9000.0,5.67,51030.0,102.06
2026-08-05,002156,sell,-900.0,58.0,-52200.0,104.4
2026-08-05,002185,sell,-3100.0,16.59,-51429.0,102.86
2026-08-05,002354,buy,6400.0,7.92,50688.0,101.38
2026-08-05,002407,sell,-1500.0,32.81,-49215.0,98.43
2026-08-05,003032,buy,4300.0,11.73,50439.0,100.88
2026-08-05,300058,buy,3200.0,15.73,50336.0,100.67
2026-08-05,300502,sell,-100.0,424.3,-42430.0,84.86
2026-08-05,600176,sell,-1300.0,39.28,-51064.0,102.13
2026-08-05,600396,sell,-100.0,17.53,-1753.0,3.51
2026-08-05,600487,sell,-900.0,54.41,-48969.0,97.94
2026-08-05,600584,sell,-700.0,68.97,-48279.0,96.56
2026-08-05,600664,buy,7500.0,6.77,50775.0,101.55
2026-08-05,600667,sell,-100.0,18.45,-1845.0,3.69
2026-08-05,603259,buy,300.0,147.5,44250.0,88.5
2026-08-05,603629,buy,400.0,112.65,45060.0,90.12
2026-08-05,605179,buy,2200.0,23.34,51348.0,102.7
2026-08-07,000533,sell,-4000.0,12.13,-48520.0,97.04
2026-08-07,000657,buy,700.0,67.01,46907.0,93.81
2026-08-07,000815,sell,-2700.0,18.03,-48681.0,97.36
2026-08-07,001309,sell,-100.0,404.16,-40416.0,80.83
2026-08-07,002131,buy,500.0,5.46,2730.0,5.46
2026-08-07,002354,sell,-6400.0,8.03,-51392.0,102.78
2026-08-07,002428,buy,500.0,100.08,50040.0,100.08
2026-08-07,002703,buy,3400.0,15.09,51306.0,102.61
2026-08-07,003032,buy,200.0,11.5,2300.0,4.6
2026-08-07,300058,sell,-3200.0,15.88,-50816.0,101.63
2026-08-07,600105,sell,-1400.0,39.0,-54600.0,109.2
2026-08-07,600206,buy,1000.0,48.17,48170.0,96.34
2026-08-07,600487,buy,800.0,59.52,47616.0,95.23
2026-08-07,600584,buy,600.0,77.75,46650.0,93.3
2026-08-07,600664,buy,100.0,6.84,684.0,1.37
2026-08-07,600667,sell,-100.0,19.53,-1953.0,3.91
2026-08-07,601899,buy,1400.0,35.15,49210.0,98.42
2026-08-07,603221,buy,2000.0,24.82,49640.0,99.28
2026-08-07,603259,sell,-300.0,154.82,-46446.0,92.89
2026-08-07,605179,sell,-2200.0,22.84,-50248.0,100.5
