date,nav,cash,positions_value,bench_nav
2026-07-27,1000000.0,1000000.0,0.0,1025118.86
2026-07-28,998306.85,151733.53,846573.32,981453.02
2026-07-29,1004357.51,151733.53,852623.98,984724.56
2026-07-30,959328.65,279310.65,680018.0,949941.31
2026-07-31,972915.65,279310.65,693605.0,975689.42
2026-08-03,968150.66,150005.66,818145.0,962112.89
2026-08-04,981226.66,150005.66,831221.0,994415.22
2026-08-05,976799.13,195049.88,781749.25,1030553.3
2026-08-06,963381.24,195049.88,768331.36,1038989.83
2026-08-07,982838.79,336782.29,646056.5,1066103.63
