date,ticker,side,shares,price,value,cost
2026-07-28,300414,buy,5200.0,11.28,58656.0,117.31
2026-07-28,300480,buy,1900.0,29.47,55993.0,111.99
2026-07-28,300750,buy,100.0,390.86,39086.0,78.17
2026-07-28,300951,buy,1000.0,54.66,54660.0,109.32
2026-07-28,300996,buy,4500.0,12.93,58185.0,116.37
2026-07-28,301067,buy,2400.0,24.42,58608.0,117.22
2026-07-28,301535,buy,3500.0,16.7,58450.0,116.9
2026-07-28,600984,buy,14800.0,3.97,58756.0,117.51
2026-07-28,603068,buy,1600.0,36.11,57776.0,115.55
2026-07-28,603324,buy,2200.0,26.22,57684.0,115.37
2026-07-28,603956,buy,9300.0,6.3,58590.0,117.18
2026-07-28,603976,buy,2300.0,25.23,58029.0,116.06
2026-07-28,605198,buy,1000.0,54.49,54490.0,108.98
2026-07-28,688151,buy,3653.0,16.1,58813.3,117.63
2026-07-28,688237,buy,862.0,68.21,58797.02,117.59
2026-07-30,001258,buy,4500.0,12.35,55575.0,111.15
2026-07-30,300250,buy,3700.0,14.92,55204.0,110.41
2026-07-30,300290,buy,11200.0,5.04,56448.0,112.9
2026-07-30,300293,buy,3600.0,15.46,55656.0,111.31
2026-07-30,300414,sell,-5200.0,10.73,-55796.0,111.59
2026-07-30,300480,sell,-1900.0,25.25,-47975.0,95.95
2026-07-30,300502,buy,100.0,371.1,37110.0,74.22
2026-07-30,300534,buy,4200.0,13.37,56154.0,112.31
2026-07-30,300548,buy,400.0,127.26,50904.0,101.81
2026-07-30,300753,buy,2500.0,22.3,55750.0,111.5
2026-07-30,300951,sell,-1000.0,49.95,-49950.0,99.9
2026-07-30,300996,sell,-4500.0,15.52,-69840.0,139.68
2026-07-30,301067,sell,-2400.0,21.82,-52368.0,104.74
2026-07-30,301421,buy,800.0,66.68,53344.0,106.69
2026-07-30,301535,sell,-3500.0,17.32,-60620.0,121.24
2026-07-30,600958,buy,6100.0,9.2,56120.0,112.24
2026-07-30,600984,sell,-14800.0,4.01,-59348.0,118.7
2026-07-30,603068,sell,-1600.0,35.75,-57200.0,114.4
2026-07-30,603297,buy,600.0,86.4,51840.0,103.68
2026-07-30,603324,sell,-2200.0,23.18,-50996.0,101.99
2026-07-30,603690,buy,2500.0,22.29,55725.0,111.45
2026-07-30,603956,sell,-9300.0,5.99,-55707.0,111.41
2026-07-30,603976,sell,-2300.0,23.59,-54257.0,108.51
2026-07-30,605198,sell,-1000.0,51.78,-51780.0,103.56
2026-07-30,688151,sell,-3653.0,15.61,-57023.33,114.05
2026-07-30,688237,sell,-862.0,54.95,-47366.9,94.73
2026-08-03,000799,buy,1200.0,40.88,49056.0,98.11
2026-08-03,000858,buy,600.0,78.06,46836.0,93.67
2026-08-03,001258,sell,-4500.0,12.73,-57285.0,114.57
2026-08-03,002304,buy,1100.0,42.63,46893.0,93.79
2026-08-03,002945,buy,3400.0,14.9,50660.0,101.32
2026-08-03,300250,sell,-3700.0,15.15,-56055.0,112.11
2026-08-03,300290,sell,-11200.0,5.8,-64960.0,129.92
