date,strategy,rank,ticker,name,factor_value,status,error
2026-07-16,ths_heat,1.0,603538,美诺华,1091261.5,ok,
2026-07-16,ths_heat,2.0,603986,兆易创新,892954.5,ok,
2026-07-16,ths_heat,3.0,001309,德明利,878677.0,ok,
2026-07-16,ths_heat,4.0,600584,长电科技,847965.0,ok,
2026-07-16,ths_heat,5.0,000938,紫光股份,835293.0,ok,
2026-07-16,ths_heat,6.0,002185,华天科技,811743.0,ok,
2026-07-16,ths_heat,7.0,600664,哈药股份,802489.5,ok,
2026-07-16,ths_heat,8.0,002384,东山精密,762312.0,ok,
2026-07-16,ths_heat,9.0,603127,昭衍新药,702238.5,ok,
2026-07-16,ths_heat,10.0,000725,京东方A,669475.0,ok,
2026-07-16,ths_heat,11.0,600487,亨通光电,568320.5,ok,
2026-07-16,ths_heat,12.0,688008,澜起科技,517956.5,ok,
2026-07-16,ths_heat,13.0,600436,片仔癀,485477.0,ok,
2026-07-16,ths_heat,14.0,002354,天娱数科,451568.0,ok,
2026-07-16,ths_heat,15.0,002747,埃斯顿,414768.5,ok,
2026-07-16,ths_heat,16.0,002466,天齐锂业,407991.5,ok,
2026-07-16,ths_heat,17.0,002156,通富微电,406308.5,ok,
2026-07-16,ths_heat,18.0,002396,星网锐捷,386437.0,ok,
2026-07-16,ths_heat,19.0,600162,香江控股,384335.0,ok,
2026-07-16,ths_heat,20.0,000566,海南海药,377720.5,ok,
2026-07-16,ths_heat_rise,1.0,002185,华天科技,500.0,ok,
2026-07-16,ths_heat_rise,2.0,601869,长飞光纤,380.0,ok,
2026-07-16,ths_heat_rise,3.0,600186,莲花控股,364.5161290322581,ok,
2026-07-16,ths_heat_rise,4.0,002156,通富微电,240.0,ok,
2026-07-16,ths_heat_rise,5.0,000725,京东方A,233.3333333333333,ok,
2026-07-16,ths_heat_rise,6.0,600879,航天电子,229.16666666666663,ok,
2026-07-16,ths_heat_rise,7.0,688333,铂力特,228.7323943661972,ok,
2026-07-16,ths_heat_rise,8.0,601995,中金公司,220.33898305084745,ok,
2026-07-16,ths_heat_rise,9.0,600992,贵绳股份,215.07936507936503,ok,
2026-07-16,ths_heat_rise,10.0,002342,巨力索具,210.3896103896104,ok,
2026-07-16,ths_heat_rise,11.0,300821,东岳硅材,194.28571428571428,ok,
2026-07-16,ths_heat_rise,12.0,600183,生益科技,187.5,ok,
2026-07-16,ths_heat_rise,13.0,002038,双鹭药业,186.48648648648648,ok,
2026-07-16,ths_heat_rise,14.0,603313,梦百合,185.41666666666669,ok,
2026-07-16,ths_heat_rise,15.0,600155,华创云信,177.06422018348624,ok,
2026-07-16,ths_heat_rise,16.0,002250,联化科技,171.2,ok,
2026-07-16,ths_heat_rise,17.0,601888,中国中免,170.3125,ok,
2026-07-16,ths_heat_rise,18.0,300759,康龙化成,169.6969696969697,ok,
2026-07-16,ths_heat_rise,19.0,300444,双杰电气,168.84057971014494,ok,
2026-07-16,ths_heat_rise,20.0,603516,淳中科技,165.22988505747128,ok,
2026-07-27,ths_heat,1.0,688825,长鑫科技,3497158.2,ok,
2026-07-27,ths_heat,2.0,001258,立新能源,321849.6,ok,
2026-07-27,ths_heat,3.0,000938,紫光股份,222745.9,ok,
2026-07-27,ths_heat,4.0,601606,长城军工,220041.6,ok,
2026-07-27,ths_heat,5.0,603986,兆易创新,206601.0,ok,
2026-07-27,ths_heat,6.0,002156,通富微电,183786.3,ok,
2026-07-27,ths_heat,7.0,600664,哈药股份,156599.2,ok,
2026-07-27,ths_heat,8.0,600667,太极实业,152270.1,ok,
2026-07-27,ths_heat,9.0,600396,华电辽能,152084.4,ok,
2026-07-27,ths_heat,10.0,002185,华天科技,140047.8,ok,
2026-07-27,ths_heat,11.0,001309,德明利,139487.2,ok,
2026-07-27,ths_heat,12.0,600584,长电科技,139009.8,ok,
2026-07-27,ths_heat,13.0,300750,宁德时代,134349.5,ok,
2026-07-27,ths_heat,14.0,000021,深科技,126624.6,ok,
2026-07-27,ths_heat,15.0,002083,孚日股份,111886.3,ok,
2026-07-27,ths_heat,16.0,000533,顺钠股份,104309.5,ok,
2026-07-27,ths_heat,17.0,002384,东山精密,100304.9,ok,
2026-07-27,ths_heat,18.0,601991,大唐发电,100118.7,ok,
2026-07-27,ths_heat,19.0,000725,京东方A,98379.4,ok,
2026-07-27,ths_heat,20.0,600206,有研新材,97961.4,ok,
2026-07-27,ths_heat_rise,,,,,error,001232: no valid latest close; 920238: no valid latest close; 603468: no valid latest close
2026-07-27,ths_heat_rise,2.0,300414,中光防雷,701.1764705882352,ok,
2026-07-27,ths_heat_rise,3.0,688237,超卓航科,578.6407766990292,ok,
2026-07-27,ths_heat_rise,4.0,300996,普联软件,479.1519434628976,ok,
2026-07-27,ths_heat_rise,5.0,688037,芯源微,442.8571428571429,ok,
2026-07-27,ths_heat_rise,6.0,002371,北方华创,416.6666666666667,ok,
2026-07-27,ths_heat_rise,7.0,300951,博硕科技,402.0304568527918,ok,
2026-07-27,ths_heat_rise,8.0,300480,光力科技,386.3013698630137,ok,
2026-07-27,ths_heat_rise,9.0,603324,盛剑科技,368.8888888888889,ok,
2026-07-27,ths_heat_rise,10.0,603956,威派格,346.2962962962963,ok,
2026-07-27,ths_heat_rise,11.0,301535,浙江华远,340.4494382022472,ok,
2026-07-27,ths_heat_rise,13.0,300750,宁德时代,333.33333333333337,ok,
2026-07-27,ths_heat_rise,14.0,688151,华强科技,326.4604810996564,ok,
2026-07-27,ths_heat_rise,15.0,603068,博通集成,325.7425742574257,ok,
2026-07-27,ths_heat_rise,16.0,603976,正川股份,315.64885496183206,ok,
2026-07-27,ths_heat_rise,17.0,605198,安德利,305.4237288135593,ok,
2026-07-27,ths_heat_rise,19.0,600984,建设机械,300.54945054945057,ok,
2026-07-27,ths_heat_rise,20.0,301067,显盈科技,298.55769230769226,ok,
2026-07-29,ths_heat,1.0,688825,长鑫科技,1511784.4,ok,
2026-07-29,ths_heat,2.0,603986,兆易创新,747351.2,ok,
2026-07-29,ths_heat,3.0,000938,紫光股份,660876.7,ok,
2026-07-29,ths_heat,4.0,600396,华电辽能,598811.1,ok,
2026-07-29,ths_heat,5.0,000636,风华高科,526848.7,ok,
2026-07-29,ths_heat,6.0,001309,德明利,513714.9,ok,
2026-07-29,ths_heat,7.0,002384,东山精密,421764.0,ok,
2026-07-29,ths_heat,8.0,300308,中际旭创,416468.2,ok,
2026-07-29,ths_heat,9.0,002407,多氟多,415213.9,ok,
2026-07-29,ths_heat,10.0,000533,顺钠股份,400234.3,ok,
2026-07-29,ths_heat,11.0,001258,立新能源,382144.2,ok,
2026-07-29,ths_heat,12.0,002156,通富微电,379219.4,ok,
2026-07-29,ths_heat,13.0,600667,太极实业,349387.3,ok,
2026-07-29,ths_heat,14.0,600895,张江高科,335007.6,ok,
2026-07-29,ths_heat,15.0,600722,金牛化工,304771.9,ok,
2026-07-29,ths_heat,16.0,600664,哈药股份,298425.1,ok,
2026-07-29,ths_heat,17.0,600584,长电科技,296043.4,ok,
2026-07-29,ths_heat,18.0,002173,创新医疗,285436.1,ok,
2026-07-29,ths_heat,19.0,000725,京东方A,277414.0,ok,
2026-07-29,ths_heat,20.0,002185,华天科技,273416.6,ok,
2026-07-29,ths_heat_rise,,,,,error,920690: no valid latest close; 920693: no valid latest close; 920118: no valid latest close
2026-07-29,ths_heat_rise,1.0,300308,中际旭创,300.0,ok,
2026-07-29,ths_heat_rise,3.0,001258,立新能源,266.66666666666663,ok,
2026-07-29,ths_heat_rise,4.0,301421,波长光电,258.62068965517244,ok,
2026-07-29,ths_heat_rise,5.0,300753,爱朋医疗,241.89189189189187,ok,
2026-07-29,ths_heat_rise,6.0,300293,蓝英装备,231.25,ok,
2026-07-29,ths_heat_rise,7.0,300502,新易盛,228.57142857142856,ok,
2026-07-29,ths_heat_rise,8.0,300534,陇神戎发,227.69230769230768,ok,
2026-07-29,ths_heat_rise,9.0,688808,联讯仪器,196.0591133004926,ok,
2026-07-29,ths_heat_rise,11.0,603690,至纯科技,188.46153846153845,ok,
2026-07-29,ths_heat_rise,12.0,688502,茂莱光学,181.3333333333333,ok,
2026-07-29,ths_heat_rise,13.0,688256,寒武纪,175.0,ok,
2026-07-29,ths_heat_rise,14.0,603297,永新光学,173.30827067669173,ok,
2026-07-29,ths_heat_rise,16.0,300750,宁德时代,170.0,ok,
2026-07-29,ths_heat_rise,17.0,300250,初灵信息,168.39237057220708,ok,
2026-07-29,ths_heat_rise,18.0,300290,ST荣科,166.54804270462634,ok,
2026-07-29,ths_heat_rise,19.0,600958,东方证券,162.71186440677968,ok,
2026-07-29,ths_heat_rise,20.0,300548,长芯博创,161.13744075829385,ok,
2026-07-31,ths_heat,1.0,688825,长鑫科技,1320663.6,ok,
2026-07-31,ths_heat,2.0,001309,德明利,633374.2,ok,
2026-07-31,ths_heat,3.0,000636,风华高科,506588.6,ok,
2026-07-31,ths_heat,4.0,603986,兆易创新,488179.6,ok,
2026-07-31,ths_heat,5.0,600667,太极实业,384091.4,ok,
2026-07-31,ths_heat,6.0,002384,东山精密,351979.3,ok,
2026-07-31,ths_heat,7.0,000938,紫光股份,351635.4,ok,
2026-07-31,ths_heat,8.0,300308,中际旭创,342826.2,ok,
2026-07-31,ths_heat,9.0,600584,长电科技,335971.1,ok,
2026-07-31,ths_heat,10.0,002185,华天科技,305521.0,ok,
2026-07-31,ths_heat,11.0,000725,京东方A,302538.6,ok,
2026-07-31,ths_heat,12.0,002156,通富微电,299185.9,ok,
2026-07-31,ths_heat,13.0,600396,华电辽能,253890.1,ok,
2026-07-31,ths_heat,14.0,001258,立新能源,251327.9,ok,
2026-07-31,ths_heat,15.0,000021,深科技,220459.2,ok,
2026-07-31,ths_heat,16.0,600487,亨通光电,209525.6,ok,
2026-07-31,ths_heat,17.0,300502,新易盛,200137.1,ok,
2026-07-31,ths_heat,18.0,600105,永鼎股份,197150.3,ok,
2026-07-31,ths_heat,19.0,600176,中国巨石,195176.6,ok,
2026-07-31,ths_heat,20.0,002407,多氟多,190592.3,ok,
2026-07-31,ths_heat_rise,,,,,error,920685: no valid latest close
2026-07-31,ths_heat_rise,1.0,000858,五粮液,326.0869565217391,ok,
2026-07-31,ths_heat_rise,2.0,300894,火星人,285.8447488584476,ok,
2026-07-31,ths_heat_rise,3.0,300605,恒锋信息,257.95454545454544,ok,
2026-07-31,ths_heat_rise,4.0,600519,贵州茅台,255.5555555555556,ok,
2026-07-31,ths_heat_rise,5.0,603919,金徽酒,248.14814814814807,ok,
2026-07-31,ths_heat_rise,6.0,000799,酒鬼酒,213.953488372093,ok,
2026-07-31,ths_heat_rise,7.0,600702,舍得酒业,200.0,ok,
2026-07-31,ths_heat_rise,8.0,300333,兆日科技,196.6396292004635,ok,
2026-07-31,ths_heat_rise,10.0,300502,新易盛,183.3333333333333,ok,
2026-07-31,ths_heat_rise,11.0,002945,华林证券,182.7586206896552,ok,
2026-07-31,ths_heat_rise,12.0,300760,迈瑞医疗,181.4977973568282,ok,
2026-07-31,ths_heat_rise,13.0,300981,中红医疗,180.2030456852792,ok,
2026-07-31,ths_heat_rise,14.0,300458,全志科技,176.36363636363637,ok,
2026-07-31,ths_heat_rise,15.0,301667,纳百川,172.82229965156796,ok,
2026-07-31,ths_heat_rise,16.0,301449,天溯计量,171.13970588235296,ok,
2026-07-31,ths_heat_rise,17.0,300308,中际旭创,166.66666666666669,ok,
2026-07-31,ths_heat_rise,18.0,002304,洋河股份,165.45454545454547,ok,
2026-07-31,ths_heat_rise,19.0,300688,创业黑马,162.33766233766232,ok,
2026-07-31,ths_heat_rise,20.0,300750,宁德时代,158.53658536585365,ok,
2026-08-04,ths_heat,1.0,002131,利欧股份,700802.8,ok,
2026-08-04,ths_heat,2.0,603259,药明康德,542514.7,ok,
2026-08-04,ths_heat,3.0,688825,长鑫科技,445643.3,ok,
2026-08-04,ths_heat,4.0,600396,华电辽能,420500.3,ok,
2026-08-04,ths_heat,5.0,002384,东山精密,381244.4,ok,
2026-08-04,ths_heat,6.0,000636,风华高科,360657.7,ok,
2026-08-04,ths_heat,7.0,000815,美利云,349635.0,ok,
2026-08-04,ths_heat,8.0,300308,中际旭创,343656.8,ok,
2026-08-04,ths_heat,9.0,603986,兆易创新,339084.1,ok,
2026-08-04,ths_heat,10.0,001309,德明利,316747.0,ok,
2026-08-04,ths_heat,11.0,002354,天娱数科,275775.5,ok,
2026-08-04,ths_heat,12.0,300058,蓝色光标,261938.5,ok,
2026-08-04,ths_heat,13.0,603629,利通电子,246461.0,ok,
2026-08-04,ths_heat,14.0,600664,哈药股份,246353.9,ok,
2026-08-04,ths_heat,15.0,000533,顺钠股份,245402.8,ok,
2026-08-04,ths_heat,16.0,605179,一鸣食品,227812.3,ok,
2026-08-04,ths_heat,17.0,600105,永鼎股份,222574.0,ok,
2026-08-04,ths_heat,18.0,003032,传智教育,221691.0,ok,
2026-08-04,ths_heat,19.0,600667,太极实业,221199.4,ok,
2026-08-04,ths_heat,20.0,000938,紫光股份,211015.2,ok,
2026-08-04,ths_heat_rise,,,,,error,920258: no valid latest close
2026-08-04,ths_heat_rise,1.0,300613,富瀚微,355.9322033898305,ok,
2026-08-04,ths_heat_rise,2.0,301596,瑞迪智驱,275.1445086705202,ok,
2026-08-04,ths_heat_rise,3.0,688146,中船特气,241.50943396226413,ok,
2026-08-04,ths_heat_rise,5.0,688256,寒武纪,237.77777777777777,ok,
2026-08-04,ths_heat_rise,6.0,001309,德明利,233.33333333333331,ok,
2026-08-04,ths_heat_rise,7.0,301137,哈焊华通,221.6417910447761,ok,
2026-08-04,ths_heat_rise,8.0,301182,凯旺科技,213.84248210023867,ok,
2026-08-04,ths_heat_rise,9.0,300418,昆仑万维,200.0,ok,
2026-08-04,ths_heat_rise,10.0,688825,长鑫科技,200.0,ok,
2026-08-04,ths_heat_rise,11.0,688111,金山办公,194.79166666666669,ok,
2026-08-04,ths_heat_rise,12.0,002415,海康威视,187.2340425531915,ok,
