date,nav,cash,positions_value,bench_nav
2026-07-10,100000.0,100000.0,0.0,100006.27
2026-07-13,99800.0,-200.0,100000.0,99405.43
2026-07-14,101914.97,-200.0,102114.97,99458.08
2026-07-15,98596.1,-200.0,98796.1,99138.91
2026-07-16,92107.95,-200.0,92307.95,98906.65
2026-07-17,91574.79,-200.0,91774.79,98193.55
2026-07-20,91814.35,-200.0,92014.35,97842.48
2026-07-21,98804.79,-200.0,99004.79,98908.11
2026-07-22,98929.13,-200.0,99129.13,98768.64
2026-07-23,98202.19,-200.0,98402.19,98273.24
2026-07-24,91872.6,-200.0,92072.6,98211.98
2026-07-27,89752.95,-200.0,89952.95,98877.21
2026-07-28,83279.38,-200.0,83479.38,99087.28
2026-07-29,78542.89,-200.0,78742.89,97884.6
2026-07-30,87607.36,-200.0,87807.36,99029.75
2026-07-31,88456.95,-200.0,88656.95,98876.36
2026-08-03,91243.76,-200.0,91443.76,100130.59
2026-08-04,96940.84,-200.0,97140.84,102170.39
2026-08-05,93982.7,-200.0,94182.7,101832.65
2026-08-06,94083.06,-200.0,94283.06,101519.01
2026-08-07,95789.19,-200.0,95989.19,102904.63
2026-08-10,93181.26,-200.0,93381.26,102970.98
2026-08-11,93636.6,-135.63,93772.23,103307.56
2026-08-12,97599.58,-135.63,97735.21,103974.79
2026-08-13,99166.0,-135.63,99301.62,104649.34
2026-08-14,99655.62,-135.63,99791.25,104708.28
2026-08-17,100479.55,-135.63,100615.17,104221.78
2026-08-18,95600.57,-135.63,95736.19,102997.42
2026-08-19,96743.96,-135.63,96879.59,103707.07
2026-08-20,94722.72,-135.63,94858.35,102898.16
2026-08-21,95172.88,-135.63,95308.5,103634.97
